data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,variazione_ricoverati_con_sintomi,variazione_terapia_intensiva,variazione_totale_ospedalizzati,variazione_isolamento_domiciliare,variazione_nuovi_positivi,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti,nuovi_dimessi_guariti,np_su_nt
2020-10-06T17:00:00,1,Piemonte,293,15,308,3274,3582,159,259,28819,4170,36571,756165,452847,20,0,20,139,130,8104,5503,2,98,3.2
2020-10-06T17:00:00,2,Valle d'Aosta,5,1,6,87,93,0,5,1112,146,1351,30131,20774,-1,0,-1,1,-8,151,87,0,5,3.31
2020-10-06T17:00:00,3,Lombardia,320,40,360,9149,9509,-23,350,82184,16973,108666,2211227,1380719,15,-1,14,-37,99,16020,10640,0,373,2.18
2020-10-06T17:00:00,4,Trentino-Alto Adige,43,0,43,1250,1293,16,57,7952,698,9943,423895,198087,5,0,5,11,-9,2049,1020,0,41,2.78
2020-10-06T17:00:00,5,Veneto,208,15,223,4303,4526,125,189,22319,2198,29043,1991024,777300,26,-5,21,104,-41,10093,3811,4,60,1.87
2020-10-06T17:00:00,6,Friuli Venezia Giulia,24,5,29,879,908,40,51,3699,355,4962,429243,190029,1,0,1,39,30,3048,1148,2,9,1.67
2020-10-06T17:00:00,7,Liguria,178,23,201,1724,1925,18,170,10609,1612,14146,329089,175730,-2,-1,-3,21,63,3325,1706,2,150,5.11
2020-10-06T17:00:00,8,Emilia-Romagna,212,13,225,4929,5154,108,172,26617,4490,36261,1231229,691551,-1,2,1,107,5,11386,4633,3,61,1.51
2020-10-06T17:00:00,9,Toscana,117,28,145,4054,4199,134,209,10606,1168,15973,787032,528501,5,-4,1,133,24,6965,4932,0,75,3.0
2020-10-06T17:00:00,10,Umbria,45,5,50,698,748,42,62,1923,86,2757,216488,129274,3,0,3,39,43,2622,1560,0,20,2.36
2020-10-06T17:00:00,11,Marche,29,6,35,947,982,28,35,6226,992,8200,256738,150966,1,0,1,27,13,1562,905,0,7,2.24
2020-10-06T17:00:00,12,Lazio,774,44,818,7472,8290,148,275,8794,948,18032,948715,786768,10,-4,6,142,27,10855,8727,4,123,2.53
2020-10-06T17:00:00,13,Abruzzo,81,6,87,971,1058,41,48,3113,484,4655,211128,134677,9,-1,8,33,18,1548,995,2,5,3.1
2020-10-06T17:00:00,14,Molise,3,0,3,135,138,1,6,520,25,683,45628,44119,0,0,0,1,4,555,544,0,5,1.08
2020-10-06T17:00:00,15,Campania,488,47,535,7442,7977,268,395,6718,468,15163,637463,416074,25,4,29,239,-36,5064,3682,2,125,7.8
2020-10-06T17:00:00,16,Puglia,244,21,265,2726,2991,35,106,4829,603,8423,430702,306067,5,7,12,23,23,4416,3279,4,67,2.4
2020-10-06T17:00:00,17,Basilicata,30,2,32,371,403,0,4,502,33,938,77909,77079,0,0,0,0,-10,1024,1024,0,4,0.39
2020-10-06T17:00:00,18,Calabria,38,1,39,546,585,2,23,1422,102,2109,212328,210222,1,-1,0,2,0,1882,1882,1,20,1.22
2020-10-06T17:00:00,19,Sicilia,368,28,396,3052,3448,90,198,4237,322,8007,515580,374604,7,0,7,83,70,6754,4517,1,107,2.93
2020-10-06T17:00:00,20,Sardegna,125,19,144,2181,2325,-1,63,1898,157,4380,202374,170991,9,0,9,-10,-25,2319,1918,1,63,2.72
