data,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,variazione_isolamento_domiciliare,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,114,35,150,162,311,90,93,1,10,,,322,8623,,9.0,13.0,23.0,68.0,0.0,3.0,4299.0,,23.33,48.23,2.16,,34.62,42.081
2020-02-26T18:00:00,128,36,164,221,385,74,78,3,12,,,400,9587,,1.0,14.0,14.0,59.0,2.0,2.0,964.0,,21.95,42.6,8.09,,2.86,25.08
2020-02-27T18:00:00,248,56,304,284,588,203,250,45,17,,,650,12014,,20.0,120.0,140.0,63.0,42.0,5.0,2427.0,,18.42,51.7,10.3,,55.56,64.935
2020-02-28T18:00:00,345,64,409,412,821,233,238,46,21,,,888,15695,,8.0,97.0,105.0,128.0,1.0,4.0,3681.0,,15.65,49.82,6.47,,14.29,40.476
2020-02-29T18:00:00,401,105,506,543,1049,228,240,50,29,,,1128,18661,,41.0,56.0,97.0,131.0,4.0,8.0,2966.0,,20.75,48.24,8.09,,64.06,29.233
2020-03-01T18:00:00,639,140,779,798,1577,528,566,83,34,,,1694,21127,,35.0,238.0,273.0,255.0,33.0,5.0,2466.0,,17.97,49.4,22.95,,33.33,53.956
2020-03-02T18:00:00,742,166,908,927,1835,258,342,149,52,,,2036,23345,,26.0,103.0,129.0,129.0,66.0,18.0,2218.0,,18.28,49.48,15.42,,18.57,21.687
2020-03-03T18:00:00,1034,229,1263,1000,2263,428,466,160,79,,,2502,25856,,63.0,292.0,355.0,73.0,11.0,27.0,2511.0,,18.13,55.81,18.56,,37.95,25.395
2020-03-04T18:00:00,1346,295,1641,1065,2706,443,587,276,107,,,3089,29837,,66.0,312.0,378.0,65.0,116.0,28.0,3981.0,,17.98,60.64,14.75,,28.82,25.939
2020-03-05T18:00:00,1790,351,2141,1155,3296,590,769,414,148,,,3858,32362,,56.0,444.0,500.0,90.0,138.0,41.0,2525.0,,16.39,64.96,30.46,,18.98,28.418
2020-03-06T18:00:00,2394,462,2856,1060,3916,620,778,523,197,,,4636,36359,,111.0,604.0,715.0,-95.0,109.0,49.0,3997.0,,16.18,72.93,19.46,,31.62,23.604
2020-03-07T18:00:00,2651,567,3218,1843,5061,1145,1247,589,233,,,5883,42062,,105.0,257.0,362.0,783.0,66.0,36.0,5703.0,,17.62,63.58,21.87,,22.73,31.844
2020-03-08T18:00:00,3557,650,4207,2180,6387,1326,1492,622,366,,,7375,49937,,83.0,906.0,989.0,337.0,33.0,133.0,7875.0,,15.45,65.87,18.95,,14.64,29.48
2020-03-09T18:00:00,4316,733,5049,2936,7985,1598,1797,724,463,,,9172,53826,,83.0,759.0,842.0,756.0,102.0,97.0,3889.0,,14.52,63.23,46.21,,12.77,28.135
2020-03-10T18:00:00,5038,877,5915,2599,8514,529,977,1004,631,,,10149,60761,,144.0,722.0,866.0,-337.0,280.0,168.0,6935.0,,14.83,69.47,14.09,,19.65,12.235
2020-03-11T17:00:00,5838,1028,6866,3724,10590,2076,2313,1045,827,,,12462,73154,,151.0,800.0,951.0,1125.0,41.0,196.0,12393.0,,14.97,64.83,18.66,,17.22,27.167
