data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,note_test,note_casi,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,13,Abruzzo,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,13,Abruzzo,0,0,0,0,0,0,0,0,0,0.0,0.0,0,13,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,13,Abruzzo,1,0,1,0,1,1,1,0,0,0.0,0.0,1,33,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,100.0,5.0,0.0,0.0,0.0
2020-02-28T18:00:00,13,Abruzzo,1,0,1,0,1,0,0,0,0,0.0,0.0,1,33,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-29T17:00:00,13,Abruzzo,2,0,2,0,2,1,1,0,0,0.0,0.0,2,43,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,100.0,10.0,0.0,0.0,100.0
2020-03-01T17:00:00,13,Abruzzo,3,0,3,2,5,3,3,0,0,0.0,0.0,5,52,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,60.0,33.33,0.0,0.0,150.0
2020-03-02T18:00:00,13,Abruzzo,3,0,3,2,5,0,0,0,0,0.0,0.0,5,52,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
2020-03-03T18:00:00,13,Abruzzo,5,0,5,1,6,1,1,0,0,0.0,0.0,6,52,0.0,0.0,0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,83.33,0.0,0.0,0.0,20.0
2020-03-04T17:00:00,13,Abruzzo,7,0,7,0,7,1,1,0,0,0.0,0.0,7,85,0.0,0.0,0,0,0.0,2.0,2.0,0.0,0.0,33.0,0.0,-1.0,0.0,100.0,3.03,0.0,0.0,16.67
2020-03-05T17:00:00,13,Abruzzo,8,0,8,0,8,1,1,0,0,0.0,0.0,8,96,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,100.0,9.09,0.0,0.0,14.29
2020-03-06T17:00:00,13,Abruzzo,9,0,9,0,9,1,1,0,0,0.0,0.0,9,96,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.5
2020-03-07T18:00:00,13,Abruzzo,11,0,11,0,11,2,2,0,0,0.0,0.0,11,123,0.0,0.0,0,0,0.0,2.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,100.0,7.41,0.0,0.0,22.22
