data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,note_test,note_casi,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,15,Campania,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,15,Campania,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,15,Campania,2,0,2,1,3,3,3,0,0,0.0,0.0,3,10,0.0,0.0,0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,66.67,0.0,0.0,0.0,0.0
2020-02-28T18:00:00,15,Campania,2,0,2,2,4,1,1,0,0,0.0,0.0,4,213,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,1.0,0.0,50.0,0.49,0.0,0.0,33.33
2020-02-29T17:00:00,15,Campania,3,0,3,10,13,9,9,0,0,0.0,0.0,13,373,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,160.0,0.0,8.0,0.0,23.08,5.62,0.0,0.0,225.0
2020-03-01T17:00:00,15,Campania,4,0,4,13,17,4,4,0,0,0.0,0.0,17,373,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,23.53,0.0,0.0,0.0,30.77
2020-03-02T18:00:00,15,Campania,4,0,4,13,17,0,0,0,0,0.0,0.0,17,373,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53,0.0,0.0,0.0,0.0
2020-03-03T18:00:00,15,Campania,11,0,11,19,30,13,13,0,0,0.0,0.0,30,405,0.0,0.0,0,0,0.0,7.0,7.0,0.0,0.0,32.0,0.0,6.0,0.0,36.67,40.62,0.0,0.0,76.47
2020-03-04T17:00:00,15,Campania,11,0,11,20,31,1,1,0,0,0.0,0.0,31,429,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,35.48,4.17,0.0,0.0,3.33
2020-03-05T17:00:00,15,Campania,12,0,12,33,45,14,14,0,0,0.0,0.0,45,471,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,42.0,0.0,13.0,0.0,26.67,33.33,0.0,0.0,45.16
2020-03-06T17:00:00,15,Campania,12,0,12,45,57,12,12,0,0,0.0,0.0,57,471,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,21.05,0.0,0.0,0.0,26.67
2020-03-07T18:00:00,15,Campania,16,0,16,45,61,4,4,0,0,0.0,0.0,61,612,0.0,0.0,0,0,0.0,4.0,4.0,0.0,0.0,141.0,0.0,0.0,0.0,26.23,2.84,0.0,0.0,7.02
2020-03-08T18:00:00,15,Campania,30,7,37,63,100,39,40,1,0,0.0,0.0,101,980,0.0,0.0,0,0,7.0,14.0,21.0,1.0,0.0,368.0,0.0,18.0,18.92,37.0,10.87,0.0,0.0,63.93
2020-03-09T18:00:00,15,Campania,42,8,50,69,119,19,19,1,0,0.0,0.0,120,980,0.0,0.0,0,0,1.0,12.0,13.0,0.0,0.0,0.0,0.0,6.0,16.0,42.02,0.0,0.0,14.29,19.0
2020-03-10T18:00:00,15,Campania,33,8,41,85,126,7,7,1,0,0.0,0.0,127,1141,0.0,0.0,0,0,0.0,-9.0,-9.0,0.0,0.0,161.0,0.0,16.0,19.51,32.54,4.35,0.0,0.0,5.88
2020-03-11T17:00:00,15,Campania,56,11,67,82,149,23,27,4,1,0.0,0.0,154,1375,0.0,0.0,0,0,3.0,23.0,26.0,3.0,1.0,234.0,0.0,-3.0,16.42,44.97,11.54,0.0,37.5,18.25
2020-03-12T17:00:00,15,Campania,56,11,67,107,174,25,25,4,1,0.0,0.0,179,1551,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,25.0,16.42,38.51,14.2,0.0,0.0,16.78
2020-03-13T17:00:00,15,Campania,60,19,79,134,213,39,41,5,2,0.0,0.0,220,1671,0.0,0.0,0,0,8.0,4.0,12.0,1.0,1.0,120.0,0.0,27.0,24.05,37.09,34.17,0.0,72.73,22.41
2020-03-14T17:00:00,15,Campania,72,17,89,154,243,30,52,23,6,0.0,0.0,272,1936,0.0,0.0,0,0,-2.0,12.0,10.0,18.0,4.0,265.0,0.0,20.0,19.1,36.63,19.62,0.0,-10.53,14.08
2020-03-15T17:00:00,15,Campania,73,22,95,201,296,53,61,28,9,0.0,0.0,333,2213,0.0,0.0,0,0,5.0,1.0,6.0,5.0,3.0,277.0,0.0,47.0,23.16,32.09,22.02,0.0,29.41,21.81
2020-03-16T17:00:00,15,Campania,103,22,125,238,363,67,67,28,9,0.0,0.0,400,2517,0.0,0.0,0,0,0.0,30.0,30.0,0.0,0.0,304.0,0.0,37.0,17.6,34.44,22.04,0.0,0.0,22.64
2020-03-17T17:00:00,15,Campania,127,24,151,272,423,60,60,28,9,0.0,0.0,460,2685,0.0,0.0,0,0,2.0,24.0,26.0,0.0,0.0,168.0,0.0,34.0,15.89,35.7,35.71,0.0,9.09,16.53
2020-03-18T17:00:00,15,Campania,127,24,151,272,423,0,0,28,9,0.0,0.0,460,2685,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.89,35.7,0.0,0.0,0.0,0.0
2020-03-19T17:00:00,15,Campania,213,36,249,356,605,182,192,30,17,0.0,0.0,652,3544,0.0,0.0,0,0,12.0,86.0,98.0,2.0,8.0,859.0,0.0,84.0,14.46,41.16,22.35,0.0,50.0,43.03
2020-03-20T17:00:00,15,Campania,130,41,171,531,702,97,97,30,17,0.0,0.0,749,3845,0.0,0.0,0,0,5.0,-83.0,-78.0,0.0,0.0,301.0,0.0,175.0,23.98,24.36,32.23,0.0,13.89,16.03
2020-03-21T17:00:00,15,Campania,233,87,320,473,793,91,95,29,22,0.0,0.0,844,4448,0.0,0.0,0,0,46.0,103.0,149.0,-1.0,5.0,603.0,0.0,-58.0,27.19,40.35,15.75,0.0,112.2,12.96
2020-03-22T17:00:00,15,Campania,243,99,342,524,866,73,92,41,29,0.0,0.0,936,4943,0.0,0.0,0,0,12.0,10.0,22.0,12.0,7.0,495.0,0.0,51.0,28.95,39.49,18.59,0.0,13.79,9.21
