data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,8,Emilia-Romagna,15,2,17,9,26,8,8,0,0,0.0,0.0,26,391,0.0,0.0,5.0,5.0,0.0,0.0,243.0,0.0,3.0,11.76,65.38,3.29,0.0,0.0,44.444
2020-02-26T18:00:00,8,Emilia-Romagna,20,3,23,23,46,20,21,0,1,0.0,0.0,47,577,0.0,1.0,5.0,6.0,0.0,1.0,186.0,0.0,14.0,13.04,50.0,11.29,0.0,50.0,80.769
2020-02-27T18:00:00,8,Emilia-Romagna,36,6,42,54,96,50,50,0,1,0.0,0.0,97,1033,0.0,3.0,16.0,19.0,0.0,0.0,456.0,0.0,31.0,14.29,43.75,10.96,0.0,100.0,108.696
2020-02-28T18:00:00,8,Emilia-Romagna,56,6,62,81,143,47,48,0,2,0.0,0.0,145,1277,0.0,0.0,20.0,20.0,0.0,1.0,244.0,0.0,27.0,9.68,43.36,19.67,0.0,0.0,50.0
2020-02-29T17:00:00,8,Emilia-Romagna,86,11,97,116,213,70,72,0,4,0.0,0.0,217,1550,0.0,5.0,30.0,35.0,0.0,2.0,273.0,0.0,35.0,11.34,45.54,26.37,0.0,83.33,50.35
2020-03-01T17:00:00,8,Emilia-Romagna,127,13,140,137,277,64,68,0,8,0.0,0.0,285,1795,0.0,2.0,41.0,43.0,0.0,4.0,245.0,0.0,21.0,9.29,50.54,27.76,0.0,18.18,31.925
2020-03-02T18:00:00,8,Emilia-Romagna,148,16,164,160,324,47,50,0,11,0.0,0.0,335,1973,0.0,3.0,21.0,24.0,0.0,3.0,178.0,0.0,23.0,9.76,50.62,28.09,0.0,23.08,18.051
2020-03-03T18:00:00,8,Emilia-Romagna,187,24,211,187,398,74,85,4,18,0.0,0.0,420,2012,0.0,8.0,39.0,47.0,4.0,7.0,39.0,0.0,27.0,11.37,53.02,217.95,0.0,50.0,26.235
2020-03-04T17:00:00,8,Emilia-Romagna,256,26,282,234,516,118,124,6,22,0.0,0.0,544,2500,0.0,2.0,69.0,71.0,2.0,4.0,488.0,0.0,47.0,9.22,54.65,25.41,0.0,8.33,31.156
2020-03-05T17:00:00,8,Emilia-Romagna,327,32,359,299,658,142,154,10,30,0.0,0.0,698,2884,0.0,6.0,71.0,77.0,4.0,8.0,384.0,0.0,65.0,8.91,54.56,40.1,0.0,23.08,29.845
2020-03-06T17:00:00,8,Emilia-Romagna,397,53,450,366,816,158,172,17,37,0.0,0.0,870,3136,0.0,21.0,70.0,91.0,7.0,7.0,252.0,0.0,67.0,11.78,55.15,68.25,0.0,65.62,26.14
2020-03-07T18:00:00,8,Emilia-Romagna,464,64,528,409,937,121,140,25,48,0.0,0.0,1010,3604,0.0,11.0,67.0,78.0,8.0,11.0,468.0,0.0,43.0,12.12,56.35,29.91,0.0,20.75,17.157
2020-03-08T18:00:00,8,Emilia-Romagna,542,75,617,480,1097,160,170,27,56,0.0,0.0,1180,4344,0.0,11.0,78.0,89.0,2.0,8.0,740.0,0.0,71.0,12.16,56.24,22.97,0.0,17.19,18.143
2020-03-09T18:00:00,8,Emilia-Romagna,576,90,666,620,1286,189,206,30,70,0.0,0.0,1386,4906,0.0,15.0,34.0,49.0,3.0,14.0,562.0,0.0,140.0,13.51,51.79,36.65,0.0,20.0,18.778
2020-03-10T18:00:00,8,Emilia-Romagna,669,98,767,650,1417,131,147,31,85,0.0,0.0,1533,5494,0.0,8.0,93.0,101.0,1.0,15.0,588.0,0.0,30.0,12.78,54.13,25.0,0.0,8.89,11.431
