data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,6,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,89,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,6,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,114,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,6,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,141,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28T18:00:00,6,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,169,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29T17:00:00,6,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,189,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01T17:00:00,6,Friuli Venezia Giulia,0,0,0,6,6,6,6,0,0,0.0,0.0,6,243,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,6.0,0.0,0.0,11.11,0.0,0.0,0.0
2020-03-02T18:00:00,6,Friuli Venezia Giulia,0,0,0,9,9,3,3,0,0,0.0,0.0,9,269,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,3.0,0.0,0.0,11.54,0.0,0.0,50.0
2020-03-03T18:00:00,6,Friuli Venezia Giulia,1,0,1,12,13,4,4,0,0,0.0,0.0,13,354,0.0,0.0,1.0,1.0,0.0,0.0,85.0,0.0,3.0,0.0,7.69,4.71,0.0,0.0,44.444
2020-03-04T17:00:00,6,Friuli Venezia Giulia,3,0,3,15,18,5,5,0,0,0.0,0.0,18,376,0.0,0.0,2.0,2.0,0.0,0.0,22.0,0.0,3.0,0.0,16.67,22.73,0.0,0.0,38.462
2020-03-05T17:00:00,6,Friuli Venezia Giulia,4,0,4,17,21,3,3,0,0,0.0,0.0,21,397,0.0,0.0,1.0,1.0,0.0,0.0,21.0,0.0,2.0,0.0,19.05,14.29,0.0,0.0,16.667
2020-03-06T17:00:00,6,Friuli Venezia Giulia,4,0,4,24,28,7,10,3,0,0.0,0.0,31,577,0.0,0.0,0.0,0.0,3.0,0.0,180.0,0.0,7.0,0.0,14.29,5.56,0.0,0.0,47.619
2020-03-07T18:00:00,6,Friuli Venezia Giulia,7,1,8,31,39,11,11,3,0,0.0,0.0,42,577,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,7.0,12.5,20.51,0.0,0.0,0.0,39.286
2020-03-08T18:00:00,6,Friuli Venezia Giulia,7,1,8,45,53,14,15,3,1,0.0,0.0,57,997,0.0,0.0,0.0,0.0,0.0,1.0,420.0,0.0,14.0,12.5,15.09,3.57,0.0,0.0,38.462
2020-03-09T18:00:00,6,Friuli Venezia Giulia,18,1,19,70,89,36,36,3,1,0.0,0.0,93,1344,0.0,0.0,11.0,11.0,0.0,0.0,347.0,0.0,25.0,5.26,21.35,10.37,0.0,0.0,67.925
2020-03-10T18:00:00,6,Friuli Venezia Giulia,27,6,33,77,110,21,23,3,3,0.0,0.0,116,1602,0.0,5.0,9.0,14.0,0.0,2.0,258.0,0.0,7.0,18.18,30.0,8.91,0.0,500.0,25.843
2020-03-11T17:00:00,6,Friuli Venezia Giulia,16,5,21,89,110,0,10,10,6,0.0,0.0,126,2073,0.0,-1.0,-11.0,-12.0,7.0,3.0,471.0,0.0,12.0,23.81,19.09,2.12,0.0,-16.67,9.091
2020-03-12T17:00:00,6,Friuli Venezia Giulia,23,10,33,115,148,38,41,11,8,0.0,0.0,167,2604,0.0,5.0,7.0,12.0,1.0,2.0,531.0,0.0,26.0,30.3,22.3,7.72,0.0,100.0,37.273
2020-03-13T17:00:00,6,Friuli Venezia Giulia,59,8,67,169,236,88,90,11,10,0.0,0.0,257,3149,0.0,-2.0,36.0,34.0,0.0,2.0,545.0,0.0,54.0,11.94,28.39,16.51,0.0,-20.0,60.811
2020-03-14T17:00:00,6,Friuli Venezia Giulia,67,11,78,193,271,35,44,17,13,0.0,0.0,301,3376,0.0,3.0,8.0,11.0,6.0,3.0,227.0,0.0,24.0,14.1,28.78,19.38,0.0,37.5,18.644
2020-03-15T17:00:00,6,Friuli Venezia Giulia,98,12,110,206,316,45,46,17,14,0.0,0.0,347,3407,0.0,1.0,31.0,32.0,0.0,1.0,31.0,0.0,13.0,10.91,34.81,148.39,0.0,9.09,16.974
2020-03-16T17:00:00,6,Friuli Venezia Giulia,96,19,115,231,346,30,39,18,22,0.0,0.0,386,4851,0.0,7.0,-2.0,5.0,1.0,8.0,1444.0,0.0,25.0,16.52,33.24,2.7,0.0,58.33,12.342
2020-03-17T17:00:00,6,Friuli Venezia Giulia,104,21,125,222,347,1,8,17,30,0.0,0.0,394,4958,0.0,2.0,8.0,10.0,-1.0,8.0,107.0,0.0,-9.0,16.8,36.02,7.48,0.0,10.53,2.312
2020-03-18T17:00:00,6,Friuli Venezia Giulia,128,27,155,261,416,69,68,15,31,0.0,0.0,462,4958,0.0,6.0,24.0,30.0,-2.0,1.0,0.0,0.0,39.0,17.42,37.26,0.0,0.0,28.57,19.597
2020-03-19T17:00:00,6,Friuli Venezia Giulia,134,29,163,359,522,106,137,41,36,0.0,0.0,599,4052,0.0,2.0,6.0,8.0,26.0,5.0,-906.0,0.0,98.0,17.79,31.23,-15.12,0.0,7.41,32.933
2020-03-20T17:00:00,6,Friuli Venezia Giulia,143,32,175,380,555,33,57,63,38,0.0,0.0,656,4964,0.0,3.0,9.0,12.0,22.0,2.0,912.0,0.0,21.0,18.29,31.53,6.25,0.0,10.34,10.92
2020-03-21T17:00:00,6,Friuli Venezia Giulia,152,37,189,477,666,111,134,82,42,0.0,0.0,790,5955,0.0,5.0,9.0,14.0,19.0,4.0,991.0,0.0,97.0,19.58,28.38,13.52,0.0,15.62,24.144
2020-03-22T17:00:00,6,Friuli Venezia Giulia,163,47,210,528,738,72,84,89,47,0.0,0.0,874,6761,0.0,10.0,11.0,21.0,7.0,5.0,806.0,0.0,51.0,22.38,28.46,10.42,0.0,27.03,12.613
2020-03-23T17:00:00,6,Friuli Venezia Giulia,185,41,226,545,771,33,56,105,54,0.0,0.0,930,7424,0.0,-6.0,22.0,16.0,16.0,7.0,663.0,0.0,17.0,18.14,29.31,8.45,0.0,-12.77,7.588
2020-03-24T17:00:00,6,Friuli Venezia Giulia,195,49,244,604,848,77,62,80,64,0.0,0.0,992,8526,0.0,8.0,10.0,18.0,-25.0,10.0,1102.0,0.0,59.0,20.08,28.77,5.63,0.0,19.51,8.042
2020-03-25T17:00:00,6,Friuli Venezia Giulia,200,52,252,659,911,63,147,158,70,0.0,0.0,1139,9494,0.0,3.0,5.0,8.0,78.0,6.0,968.0,0.0,55.0,20.63,27.66,15.19,0.0,6.12,17.335
2020-03-26T17:00:00,6,Friuli Venezia Giulia,212,54,266,688,954,43,84,197,72,0.0,0.0,1223,10721,0.0,2.0,12.0,14.0,39.0,2.0,1227.0,0.0,29.0,20.3,27.88,6.85,0.0,3.85,9.221
2020-03-27T17:00:00,6,Friuli Venezia Giulia,222,57,279,748,1027,73,94,214,76,0.0,0.0,1317,11841,0.0,3.0,10.0,13.0,17.0,4.0,1120.0,0.0,60.0,20.43,27.17,8.39,0.0,5.56,9.853
2020-03-28T17:00:00,6,Friuli Venezia Giulia,223,59,282,838,1120,93,119,229,87,0.0,0.0,1436,12723,0.0,2.0,1.0,3.0,15.0,11.0,882.0,0.0,90.0,20.92,25.18,13.49,0.0,3.51,11.587
