data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,12,Lazio,1,1,2,0,2,0,0,1,0,3,124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,12,Lazio,0,0,0,0,0,-2,0,3,0,3,124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0
2020-02-27T18:00:00,12,Lazio,0,0,0,0,0,0,0,3,0,3,552,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28T18:00:00,12,Lazio,0,0,0,0,0,0,0,3,0,3,611,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29T17:00:00,12,Lazio,3,0,3,0,3,3,3,3,0,6,679,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,68.0,0.0,0.0,0.0,100.0,4.41,0.0,0.0,0.0
2020-03-01T17:00:00,12,Lazio,3,0,3,0,3,0,0,3,0,6,724,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-02T18:00:00,12,Lazio,3,0,3,1,4,1,1,3,0,7,773,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0,0.0,75.0,2.04,0.0,0.0,33.33
2020-03-03T18:00:00,12,Lazio,10,0,10,1,11,7,7,3,0,14,877,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,7.0,7.0,0.0,0.0,104.0,0.0,0.0,0.0,90.91,6.73,0.0,0.0,175.0
2020-03-04T17:00:00,12,Lazio,15,3,18,9,27,16,16,3,0,30,995,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,5.0,8.0,0.0,0.0,118.0,0.0,8.0,16.67,66.67,13.56,0.0,0.0,145.45
2020-03-05T17:00:00,12,Lazio,20,7,27,14,41,14,14,3,0,44,1175,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,5.0,9.0,0.0,0.0,180.0,0.0,5.0,25.93,65.85,7.78,0.0,133.33,51.85
