data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,7,Liguria,1,0,1,0,1,1,1,0,0,0.0,0.0,1,39,0.0,0.0,1.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,100.0,2.63,0.0,0.0,0.0
2020-02-26T18:00:00,7,Liguria,6,0,6,5,11,10,10,0,0,0.0,0.0,11,66,0.0,0.0,5.0,5.0,0.0,0.0,27.0,0.0,5.0,0.0,54.55,37.04,0.0,0.0,1000.0
2020-02-27T18:00:00,7,Liguria,9,0,9,10,19,8,8,0,0,0.0,0.0,19,78,0.0,0.0,3.0,3.0,0.0,0.0,12.0,0.0,5.0,0.0,47.37,66.67,0.0,0.0,72.727
2020-02-28T18:00:00,7,Liguria,9,0,9,10,19,0,0,0,0,0.0,0.0,19,112,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,47.37,0.0,0.0,0.0,0.0
2020-02-29T17:00:00,7,Liguria,4,1,5,33,38,19,23,4,0,0.0,0.0,42,121,0.0,1.0,-5.0,-4.0,4.0,0.0,9.0,0.0,23.0,20.0,13.16,255.56,0.0,0.0,121.053
2020-03-01T17:00:00,7,Liguria,12,1,13,8,21,-17,-17,4,0,0.0,0.0,25,121,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,-25.0,7.69,61.9,-inf,0.0,0.0,-44.737
2020-03-02T18:00:00,7,Liguria,12,1,13,5,18,-3,-3,4,0,0.0,0.0,22,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,7.69,72.22,-inf,0.0,0.0,-14.286
2020-03-03T18:00:00,7,Liguria,12,2,14,5,19,1,2,4,1,0.0,0.0,24,121,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.29,73.68,0.0,0.0,100.0,11.111
2020-03-04T17:00:00,7,Liguria,10,3,13,8,21,2,2,4,1,0.0,0.0,26,133,0.0,1.0,-2.0,-1.0,0.0,0.0,12.0,0.0,3.0,23.08,61.9,16.67,0.0,50.0,10.526
2020-03-05T17:00:00,7,Liguria,11,3,14,7,21,0,2,4,3,0.0,0.0,28,146,0.0,0.0,1.0,1.0,0.0,2.0,13.0,0.0,-1.0,21.43,66.67,15.38,0.0,0.0,9.524
