data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,11,Marche,0,0,0,0,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,11,Marche,1,0,1,0,1,1,1,0,0,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,100.0,14.29,0.0,0.0,0.0
2020-02-27T18:00:00,11,Marche,2,1,3,0,3,2,2,0,0,3,46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,2.0,0.0,0.0,18.0,0.0,0.0,33.33,100.0,11.11,0.0,0.0,200.0
2020-02-28T18:00:00,11,Marche,3,2,5,1,6,3,3,0,0,6,47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,40.0,83.33,300.0,0.0,100.0,100.0
2020-02-29T17:00:00,11,Marche,6,2,8,3,11,5,5,0,0,11,68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,21.0,0.0,2.0,25.0,72.73,23.81,0.0,0.0,83.33
2020-03-01T17:00:00,11,Marche,12,5,17,8,25,14,14,0,0,25,101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,6.0,9.0,0.0,0.0,33.0,0.0,5.0,29.41,68.0,42.42,0.0,150.0,127.27
2020-03-02T18:00:00,11,Marche,17,6,23,11,34,9,10,0,1,35,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,5.0,6.0,0.0,1.0,36.0,0.0,3.0,26.09,67.65,27.78,0.0,20.0,36.0
2020-03-03T18:00:00,11,Marche,27,13,40,19,59,25,26,0,2,61,200,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.0,10.0,17.0,0.0,1.0,63.0,0.0,8.0,32.5,67.8,41.27,0.0,116.67,73.53
2020-03-04T17:00:00,11,Marche,34,15,49,31,80,21,23,0,4,84,288,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,7.0,9.0,0.0,2.0,88.0,0.0,12.0,30.61,61.25,26.14,0.0,15.38,35.59
2020-03-05T17:00:00,11,Marche,57,19,76,44,120,40,40,0,4,124,413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,23.0,27.0,0.0,0.0,125.0,0.0,13.0,25.0,63.33,32.0,0.0,26.67,50.0
2020-03-06T17:00:00,11,Marche,73,20,93,62,155,35,35,0,4,159,585,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,16.0,17.0,0.0,0.0,172.0,0.0,18.0,21.51,60.0,20.35,0.0,5.26,29.17
2020-03-07T18:00:00,11,Marche,94,36,130,71,201,46,48,0,6,207,816,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16.0,21.0,37.0,0.0,2.0,231.0,0.0,9.0,27.69,64.68,20.78,0.0,80.0,29.68
2020-03-08T18:00:00,11,Marche,110,41,151,114,265,64,65,0,7,272,1025,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,16.0,21.0,0.0,1.0,209.0,0.0,43.0,27.15,56.98,31.1,0.0,13.89,31.84
2020-03-09T18:00:00,11,Marche,136,47,183,130,313,48,51,0,10,323,1250,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,26.0,32.0,0.0,3.0,225.0,0.0,16.0,25.68,58.47,22.67,0.0,14.63,18.11
2020-03-10T18:00:00,11,Marche,152,54,206,175,381,68,71,0,13,394,1437,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.0,16.0,23.0,0.0,3.0,187.0,0.0,45.0,26.21,54.07,37.97,0.0,14.89,21.73
2020-03-11T17:00:00,11,Marche,212,66,278,183,461,80,85,0,18,479,1656,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.0,60.0,72.0,0.0,5.0,219.0,0.0,8.0,23.74,60.3,38.81,0.0,22.22,21.0
2020-03-12T17:00:00,11,Marche,254,76,330,240,570,109,113,0,22,592,1907,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.0,42.0,52.0,0.0,4.0,251.0,0.0,57.0,23.03,57.89,45.02,0.0,15.15,23.64
2020-03-13T17:00:00,11,Marche,337,85,422,276,698,128,133,0,27,725,2218,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,83.0,92.0,0.0,5.0,311.0,0.0,36.0,20.14,60.46,42.77,0.0,11.84,22.46
2020-03-14T17:00:00,11,Marche,449,93,542,321,863,165,174,0,36,899,2561,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0,112.0,120.0,0.0,9.0,343.0,0.0,45.0,17.16,62.8,50.73,0.0,9.41,23.64
2020-03-15T17:00:00,11,Marche,521,98,619,468,1087,224,234,0,46,1133,2946,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,72.0,77.0,0.0,10.0,385.0,0.0,147.0,15.83,56.95,60.78,0.0,5.38,25.96
2020-03-16T17:00:00,11,Marche,528,110,638,547,1185,98,109,0,57,1242,3225,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.0,7.0,19.0,0.0,11.0,279.0,0.0,79.0,17.24,53.84,39.07,0.0,12.24,9.02
2020-03-17T17:00:00,11,Marche,599,109,708,594,1302,117,129,0,69,1371,3225,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,71.0,70.0,0.0,12.0,0.0,0.0,47.0,15.4,54.38,0.0,0.0,-0.91,9.87
2020-03-18T17:00:00,11,Marche,638,119,757,719,1476,174,197,0,92,1568,4109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.0,39.0,49.0,0.0,23.0,884.0,0.0,125.0,15.72,51.29,22.29,0.0,9.17,13.36
2020-03-19T17:00:00,11,Marche,656,141,797,825,1622,146,169,0,115,1737,4512,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.0,18.0,40.0,0.0,23.0,403.0,0.0,106.0,17.69,49.14,41.94,0.0,18.49,9.89
