data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,1,Piemonte,2,0,2,1,3,0,0,0,0,0.0,0.0,3,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,1,Piemonte,2,0,2,1,3,0,0,0,0,0.0,0.0,3,156,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,1,Piemonte,2,0,2,0,2,-1,-1,0,0,0.0,0.0,2,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,100.0,-inf,0.0,0.0,-33.333
2020-02-28T18:00:00,1,Piemonte,7,0,7,4,11,9,9,0,0,0.0,0.0,11,227,0.0,0.0,5.0,5.0,0.0,0.0,71.0,0.0,4.0,0.0,63.64,12.68,0.0,0.0,450.0
2020-02-29T17:00:00,1,Piemonte,7,0,7,4,11,0,0,0,0,0.0,0.0,11,308,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,63.64,0.0,0.0,0.0,0.0
2020-03-01T17:00:00,1,Piemonte,11,2,13,36,49,38,38,0,0,0.0,0.0,49,362,0.0,2.0,4.0,6.0,0.0,0.0,54.0,0.0,32.0,15.38,26.53,70.37,0.0,0.0,345.455
2020-03-02T18:00:00,1,Piemonte,12,2,14,37,51,2,2,0,0,0.0,0.0,51,434,0.0,0.0,1.0,1.0,0.0,0.0,72.0,0.0,1.0,14.29,27.45,2.78,0.0,0.0,4.082
2020-03-03T18:00:00,1,Piemonte,13,3,16,40,56,5,5,0,0,0.0,0.0,56,458,0.0,1.0,1.0,2.0,0.0,0.0,24.0,0.0,3.0,18.75,28.57,20.83,0.0,50.0,9.804
2020-03-04T17:00:00,1,Piemonte,26,13,39,43,82,26,26,0,0,0.0,0.0,82,543,0.0,10.0,13.0,23.0,0.0,0.0,85.0,0.0,3.0,33.33,47.56,30.59,0.0,333.33,46.429
2020-03-05T17:00:00,1,Piemonte,43,17,60,46,106,24,26,0,2,0.0,0.0,108,543,0.0,4.0,17.0,21.0,0.0,2.0,0.0,0.0,3.0,28.33,56.6,0.0,0.0,30.77,31.707
2020-03-06T17:00:00,1,Piemonte,57,30,87,52,139,33,35,0,4,0.0,0.0,143,793,0.0,13.0,14.0,27.0,0.0,2.0,250.0,0.0,6.0,34.48,62.59,14.0,0.0,76.47,33.019
2020-03-07T18:00:00,1,Piemonte,110,38,148,54,202,63,64,0,5,0.0,0.0,207,1046,0.0,8.0,53.0,61.0,0.0,1.0,253.0,0.0,2.0,25.68,73.27,25.3,0.0,26.67,46.043
2020-03-08T18:00:00,1,Piemonte,245,45,290,65,355,153,153,0,5,0.0,0.0,360,1636,0.0,7.0,135.0,142.0,0.0,0.0,590.0,0.0,11.0,15.52,81.69,25.93,0.0,18.42,75.743
2020-03-09T18:00:00,1,Piemonte,222,50,272,65,337,-18,-10,0,13,0.0,0.0,350,1681,0.0,5.0,-23.0,-18.0,0.0,8.0,45.0,0.0,0.0,18.38,80.71,-22.22,0.0,11.11,-2.817
2020-03-10T18:00:00,1,Piemonte,306,66,372,64,436,99,103,0,17,0.0,0.0,453,2374,0.0,16.0,84.0,100.0,0.0,4.0,693.0,0.0,-1.0,17.74,85.32,14.86,0.0,32.0,30.564
2020-03-11T17:00:00,1,Piemonte,319,75,394,86,480,44,48,0,21,0.0,0.0,501,2431,0.0,9.0,13.0,22.0,0.0,4.0,57.0,0.0,22.0,19.04,82.08,84.21,0.0,13.64,11.009
2020-03-12T17:00:00,1,Piemonte,368,97,465,89,554,74,79,0,26,0.0,0.0,580,2879,0.0,22.0,49.0,71.0,0.0,5.0,448.0,0.0,3.0,20.86,83.94,17.63,0.0,29.33,16.458
2020-03-13T17:00:00,1,Piemonte,556,135,691,103,794,240,260,0,46,0.0,0.0,840,3105,0.0,38.0,188.0,226.0,0.0,20.0,226.0,0.0,14.0,19.54,87.03,115.04,0.0,39.18,46.931
2020-03-14T17:00:00,1,Piemonte,538,150,688,126,814,20,33,0,59,0.0,0.0,873,3680,0.0,15.0,-18.0,-3.0,0.0,13.0,575.0,0.0,23.0,21.8,84.52,5.74,0.0,11.11,4.156
2020-03-15T17:00:00,1,Piemonte,726,171,897,133,1030,216,238,0,81,0.0,0.0,1111,4375,0.0,21.0,188.0,209.0,0.0,22.0,695.0,0.0,7.0,19.06,87.09,34.24,0.0,14.0,29.238
2020-03-16T17:00:00,1,Piemonte,1045,186,1231,174,1405,375,405,0,111,0.0,0.0,1516,5588,0.0,15.0,319.0,334.0,0.0,30.0,1213.0,0.0,41.0,15.11,87.62,33.39,0.0,8.77,39.32
2020-03-17T17:00:00,1,Piemonte,1378,206,1584,180,1764,359,381,0,133,0.0,0.0,1897,6543,0.0,20.0,333.0,353.0,0.0,22.0,955.0,0.0,6.0,13.01,89.8,39.9,0.0,10.75,27.117
2020-03-18T17:00:00,1,Piemonte,1780,227,2007,180,2187,423,444,0,154,0.0,0.0,2341,7516,0.0,21.0,402.0,423.0,0.0,21.0,973.0,0.0,0.0,11.31,91.77,45.63,0.0,10.19,25.17
2020-03-19T17:00:00,1,Piemonte,2279,257,2536,218,2754,567,591,3,175,0.0,0.0,2932,8853,0.0,30.0,499.0,529.0,3.0,21.0,1337.0,0.0,38.0,10.13,92.08,44.2,0.0,13.22,27.023
