data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,16,Puglia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,16,Puglia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,16,Puglia,1,0,1,0,1,1,1,0,0,0.0,0.0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-28T18:00:00,16,Puglia,1,0,1,2,3,2,2,0,0,0.0,0.0,3,242,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,2.0,0.0,33.33,0.83,0.0,0.0,200.0
2020-02-29T17:00:00,16,Puglia,1,0,1,2,3,0,0,0,0,0.0,0.0,3,252,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0
2020-03-01T17:00:00,16,Puglia,1,0,1,2,3,0,0,0,0,0.0,0.0,3,262,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0
2020-03-02T18:00:00,16,Puglia,2,0,2,2,4,1,1,0,0,0.0,0.0,4,278,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,50.0,6.25,0.0,0.0,33.333
2020-03-03T18:00:00,16,Puglia,2,0,2,4,6,2,2,0,0,0.0,0.0,6,298,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,33.33,10.0,0.0,0.0,50.0
2020-03-04T17:00:00,16,Puglia,4,0,4,3,7,1,3,1,1,0.0,0.0,9,322,0.0,0.0,2.0,2.0,1.0,1.0,24.0,0.0,-1.0,0.0,57.14,12.5,0.0,0.0,50.0
2020-03-05T17:00:00,16,Puglia,5,1,6,6,12,5,5,1,1,0.0,0.0,14,359,0.0,1.0,1.0,2.0,0.0,0.0,37.0,0.0,3.0,16.67,50.0,13.51,0.0,0.0,71.429
2020-03-06T17:00:00,16,Puglia,5,1,6,9,15,3,3,1,1,0.0,0.0,17,395,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,3.0,16.67,40.0,8.33,0.0,0.0,25.0
