data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,19,Sicilia,1,0,1,2,3,3,3,0,0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,33.33,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,19,Sicilia,1,0,1,2,3,0,0,0,0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,19,Sicilia,1,0,1,1,2,-1,1,2,0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,50.0,0.0,0.0,0.0,-33.33
2020-02-28T18:00:00,19,Sicilia,1,0,1,1,2,0,0,2,0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
2020-02-29T17:00:00,19,Sicilia,1,0,1,1,2,0,0,2,0,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
2020-03-01T17:00:00,19,Sicilia,1,0,1,6,7,5,5,2,0,9,291,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,5.0,0.0,14.29,1.75,0.0,0.0,250.0
2020-03-02T18:00:00,19,Sicilia,2,0,2,3,5,-2,-2,2,0,7,307,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,-3.0,0.0,40.0,-12.5,0.0,0.0,-28.57
2020-03-03T18:00:00,19,Sicilia,2,0,2,3,5,0,0,2,0,7,307,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2020-03-04T17:00:00,19,Sicilia,5,0,5,11,16,11,11,2,0,18,367,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,60.0,0.0,8.0,0.0,31.25,18.33,0.0,0.0,220.0
2020-03-05T17:00:00,19,Sicilia,5,0,5,11,16,0,0,2,0,18,367,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0
2020-03-06T17:00:00,19,Sicilia,7,0,7,15,22,6,6,2,0,24,367,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,31.82,0.0,0.0,0.0,37.5
2020-03-07T18:00:00,19,Sicilia,8,0,8,25,33,11,11,2,0,35,643,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,276.0,0.0,10.0,0.0,24.24,3.99,0.0,0.0,50.0
2020-03-08T18:00:00,19,Sicilia,18,0,18,33,51,18,18,2,0,53,791,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,10.0,10.0,0.0,0.0,148.0,0.0,8.0,0.0,35.29,12.16,0.0,0.0,54.55
2020-03-09T18:00:00,19,Sicilia,19,0,19,33,52,1,1,2,0,54,836,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,36.54,2.22,0.0,0.0,1.96
2020-03-10T18:00:00,19,Sicilia,17,2,19,41,60,8,8,2,0,62,955,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,-2.0,0.0,0.0,0.0,119.0,0.0,8.0,10.53,31.67,6.72,0.0,0.0,15.38
2020-03-11T17:00:00,19,Sicilia,23,1,24,57,81,21,21,2,0,83,1194,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,6.0,5.0,0.0,0.0,239.0,0.0,16.0,4.17,29.63,8.79,0.0,-50.0,35.0
2020-03-12T17:00:00,19,Sicilia,28,5,33,78,111,30,32,2,2,115,1477,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,5.0,9.0,0.0,2.0,283.0,0.0,21.0,15.15,29.73,11.31,0.0,400.0,37.04
2020-03-13T17:00:00,19,Sicilia,37,7,44,82,126,15,15,2,2,130,1950,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,9.0,11.0,0.0,0.0,473.0,0.0,4.0,15.91,34.92,3.17,0.0,40.0,13.51
2020-03-14T17:00:00,19,Sicilia,42,11,53,97,150,24,26,4,2,156,2100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,5.0,9.0,2.0,0.0,150.0,0.0,15.0,20.75,35.33,17.33,0.0,57.14,19.05
2020-03-15T17:00:00,19,Sicilia,56,15,71,108,179,29,32,7,2,188,2452,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,14.0,18.0,3.0,0.0,352.0,0.0,11.0,21.13,39.66,9.09,0.0,36.36,19.33
2020-03-16T17:00:00,19,Sicilia,75,20,95,108,203,24,25,8,2,213,2653,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,19.0,24.0,1.0,0.0,201.0,0.0,0.0,21.05,46.8,12.44,0.0,33.33,13.41
2020-03-17T17:00:00,19,Sicilia,86,28,114,112,226,23,24,8,3,237,2916,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0,11.0,19.0,0.0,1.0,263.0,0.0,4.0,24.56,50.44,9.13,0.0,40.0,11.33
2020-03-18T17:00:00,19,Sicilia,100,29,129,138,267,41,45,12,3,282,3294,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,14.0,15.0,4.0,0.0,378.0,0.0,26.0,22.48,48.31,11.9,0.0,3.57,18.14
2020-03-19T17:00:00,19,Sicilia,143,36,179,142,321,54,58,15,4,340,3961,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.0,43.0,50.0,3.0,1.0,667.0,0.0,4.0,20.11,55.76,8.7,0.0,24.14,20.22
2020-03-20T17:00:00,19,Sicilia,168,42,210,169,379,58,68,25,4,408,4468,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,25.0,31.0,10.0,0.0,507.0,0.0,27.0,20.0,55.41,13.41,0.0,16.67,18.07
2020-03-21T17:00:00,19,Sicilia,206,48,254,204,458,79,82,26,6,490,4883,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,38.0,44.0,1.0,2.0,415.0,0.0,35.0,18.9,55.46,19.76,0.0,14.29,20.84
2020-03-22T17:00:00,19,Sicilia,220,55,275,321,596,138,140,26,8,630,5580,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.0,14.0,21.0,0.0,2.0,697.0,0.0,117.0,20.0,46.14,20.09,0.0,14.58,30.13
2020-03-23T17:00:00,19,Sicilia,250,60,310,371,681,85,91,27,13,721,6375,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,30.0,35.0,1.0,5.0,795.0,0.0,50.0,19.35,45.52,11.45,0.0,9.09,14.26
2020-03-24T17:00:00,19,Sicilia,250,60,310,489,799,118,125,27,20,846,7170,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,7.0,795.0,0.0,118.0,19.35,38.8,15.72,0.0,0.0,17.33
2020-03-25T17:00:00,19,Sicilia,259,80,339,597,936,137,148,33,25,994,8312,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20.0,9.0,29.0,6.0,5.0,1142.0,0.0,108.0,23.6,36.22,12.96,0.0,33.33,17.15
2020-03-26T17:00:00,19,Sicilia,346,68,414,681,1095,159,170,36,33,1164,9658,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-12.0,87.0,75.0,3.0,8.0,1346.0,0.0,84.0,16.43,37.81,12.63,0.0,-15.0,16.99
2020-03-27T17:00:00,19,Sicilia,425,75,500,658,1158,63,86,53,39,1250,11079,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.0,79.0,86.0,17.0,6.0,1421.0,0.0,-23.0,15.0,43.18,6.05,0.0,10.29,5.75
2020-03-28T17:00:00,19,Sicilia,441,71,512,730,1242,84,109,60,57,1359,13096,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0,16.0,12.0,7.0,18.0,2017.0,0.0,72.0,13.87,41.22,5.4,0.0,-5.33,7.25
2020-03-29T17:00:00,19,Sicilia,451,71,522,808,1330,88,101,65,65,1460,13814,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,10.0,10.0,5.0,8.0,718.0,0.0,78.0,13.6,39.25,14.07,0.0,0.0,7.09
2020-03-30T17:00:00,19,Sicilia,484,75,559,849,1408,78,95,71,76,1555,14758,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,33.0,37.0,6.0,11.0,944.0,0.0,41.0,13.42,39.7,10.06,0.0,5.63,5.86
2020-03-31T17:00:00,19,Sicilia,503,72,575,917,1492,84,92,74,81,1647,15634,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.0,19.0,16.0,3.0,5.0,876.0,0.0,68.0,12.52,38.54,10.5,0.0,-4.0,5.97
2020-04-01T17:00:00,19,Sicilia,496,72,568,976,1544,52,71,86,88,1718,16836,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-7.0,-7.0,12.0,7.0,1202.0,0.0,59.0,12.68,36.79,5.91,0.0,0.0,3.49
2020-04-02T17:00:00,19,Sicilia,503,73,576,1030,1606,62,73,92,93,1791,17833,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,7.0,8.0,6.0,5.0,997.0,0.0,54.0,12.67,35.87,7.32,0.0,1.39,4.02
2020-04-03T17:00:00,19,Sicilia,535,73,608,1056,1664,58,68,94,101,1859,18686,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,32.0,32.0,2.0,8.0,853.0,0.0,26.0,12.01,36.54,7.97,0.0,0.0,3.61
2020-04-04T17:00:00,19,Sicilia,553,74,627,1099,1726,62,73,95,111,1932,19896,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,18.0,19.0,1.0,10.0,1210.0,0.0,43.0,11.8,36.33,6.03,0.0,1.37,3.73
2020-04-05T17:00:00,19,Sicilia,556,76,632,1142,1774,48,62,104,116,1994,21904,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,3.0,5.0,9.0,5.0,2008.0,0.0,43.0,12.03,35.63,3.09,0.0,2.7,2.78
2020-04-06T17:00:00,19,Sicilia,563,74,637,1178,1815,41,52,108,123,2046,23464,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,7.0,5.0,4.0,7.0,1560.0,0.0,36.0,11.62,35.1,3.33,0.0,-2.63,2.31
2020-04-07T17:00:00,19,Sicilia,562,73,635,1224,1859,44,51,113,125,2097,24857,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-2.0,5.0,2.0,1393.0,0.0,46.0,11.5,34.16,3.66,0.0,-1.35,2.42
2020-04-08T17:00:00,19,Sicilia,563,65,628,1265,1893,34,62,133,133,2159,27438,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-8.0,1.0,-7.0,20.0,8.0,2581.0,0.0,41.0,10.35,33.17,2.4,0.0,-10.96,1.83
2020-04-09T17:00:00,19,Sicilia,566,63,629,1313,1942,49,73,152,138,2232,28742,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,3.0,1.0,19.0,5.0,1304.0,0.0,48.0,10.02,32.39,5.6,0.0,-3.08,2.59
2020-04-10T17:00:00,19,Sicilia,568,62,630,1337,1967,25,70,187,148,2302,31156,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,2.0,1.0,35.0,10.0,2414.0,0.0,24.0,9.84,32.03,2.9,0.0,-1.59,1.29
2020-04-11T17:00:00,19,Sicilia,562,58,620,1381,2001,34,62,209,154,2364,33787,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0,-6.0,-10.0,22.0,6.0,2631.0,0.0,44.0,9.35,30.98,2.36,0.0,-6.45,1.73
2020-04-12T17:00:00,19,Sicilia,552,53,605,1425,2030,29,52,223,163,2416,36098,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.0,-10.0,-15.0,14.0,9.0,2311.0,0.0,44.0,8.76,29.8,2.25,0.0,-8.62,1.45
2020-04-13T17:00:00,19,Sicilia,554,51,605,1445,2050,20,42,237,171,2458,37311,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,2.0,0.0,14.0,8.0,1213.0,0.0,20.0,8.43,29.51,3.46,0.0,-3.77,0.99
2020-04-14T17:00:00,19,Sicilia,552,53,605,1466,2071,21,43,255,175,2501,37877,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,-2.0,0.0,18.0,4.0,566.0,0.0,21.0,8.76,29.21,7.6,0.0,3.92,1.02
2020-04-15T17:00:00,19,Sicilia,541,49,590,1491,2081,10,34,273,181,2535,39867,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0,-11.0,-15.0,18.0,6.0,1990.0,0.0,25.0,8.31,28.35,1.71,0.0,-7.55,0.48
2020-04-16T17:00:00,19,Sicilia,525,48,573,1535,2108,27,44,284,187,2579,42405,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-16.0,-17.0,11.0,6.0,2538.0,0.0,44.0,8.38,27.18,1.73,0.0,-2.04,1.3
2020-04-17T17:00:00,19,Sicilia,521,46,567,1572,2139,31,46,296,190,2625,45172,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,-4.0,-6.0,12.0,3.0,2767.0,0.0,37.0,8.11,26.51,1.66,0.0,-4.17,1.47
2020-04-18T17:00:00,19,Sicilia,526,42,568,1603,2171,32,47,305,196,2672,47715,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0,5.0,1.0,9.0,6.0,2543.0,0.0,31.0,7.39,26.16,1.85,0.0,-8.7,1.5
2020-04-19T17:00:00,19,Sicilia,522,41,563,1639,2202,31,45,315,200,2717,49772,49772.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-4.0,-5.0,10.0,4.0,2057.0,0.0,36.0,7.28,25.57,2.19,0.0,-2.38,1.43
2020-04-20T17:00:00,19,Sicilia,526,39,565,1645,2210,8,42,346,203,2759,51373,51373.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,4.0,2.0,31.0,3.0,1601.0,1601.0,6.0,6.9,25.57,2.62,2.62,-4.88,0.36
2020-04-21T17:00:00,19,Sicilia,514,37,551,1708,2259,49,76,370,206,2835,55093,55093.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,-12.0,-14.0,24.0,3.0,3720.0,3720.0,63.0,6.72,24.39,2.04,2.04,-5.13,2.22
