data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,note_test,note_casi,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,4,Trentino-Alto Adige,1,0,1,0,1,1,1,0,0,0.0,0.0,1,4,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,4,Trentino-Alto Adige,1,0,1,0,1,0,0,0,0,0.0,0.0,1,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,4,Trentino-Alto Adige,1,0,1,0,1,0,0,0,0,0.0,0.0,1,34,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-28T18:00:00,4,Trentino-Alto Adige,1,0,1,0,1,0,0,0,0,0.0,0.0,1,34,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-29T17:00:00,4,Trentino-Alto Adige,1,0,1,0,1,0,0,0,0,0.0,0.0,1,59,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-01T17:00:00,4,Trentino-Alto Adige,1,0,1,0,1,0,0,0,0,0.0,0.0,1,142,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-02T18:00:00,4,Trentino-Alto Adige,1,0,1,0,1,0,0,0,0,0.0,0.0,1,142,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-03-03T18:00:00,4,Trentino-Alto Adige,2,0,2,3,5,4,4,0,0,0.0,0.0,5,142,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,40.0,0.0,0.0,0.0,400.0
2020-03-04T17:00:00,4,Trentino-Alto Adige,2,0,2,4,6,1,1,0,0,0.0,0.0,6,142,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.33,0.0,0.0,0.0,20.0
2020-03-05T17:00:00,4,Trentino-Alto Adige,3,0,3,5,8,2,2,0,0,0.0,0.0,8,142,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,37.5,0.0,0.0,0.0,33.33
2020-03-06T17:00:00,4,Trentino-Alto Adige,8,0,8,6,14,6,6,0,0,0.0,0.0,14,158,0.0,0.0,0,0,0.0,5.0,5.0,0.0,0.0,16.0,0.0,1.0,0.0,57.14,37.5,0.0,0.0,75.0
2020-03-07T18:00:00,4,Trentino-Alto Adige,14,1,15,8,23,9,9,0,0,0.0,0.0,23,230,0.0,0.0,0,0,1.0,6.0,7.0,0.0,0.0,72.0,0.0,2.0,6.67,65.22,12.5,0.0,0.0,64.29
2020-03-08T18:00:00,4,Trentino-Alto Adige,15,2,17,15,32,9,9,0,0,0.0,0.0,32,264,0.0,0.0,0,0,1.0,1.0,2.0,0.0,0.0,34.0,0.0,7.0,11.76,53.12,26.47,0.0,100.0,39.13
2020-03-09T18:00:00,4,Trentino-Alto Adige,18,2,20,22,42,10,10,0,0,0.0,0.0,42,303,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,39.0,0.0,7.0,10.0,47.62,25.64,0.0,0.0,31.25
