data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,note_test,note_casi,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29T17:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01T17:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,11,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04T17:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,15,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05T17:00:00,2,Valle d'Aosta,0,0,0,2,2,2,2,0,0,0.0,0.0,2,21,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,33.33,0.0,0.0,0.0
2020-03-06T17:00:00,2,Valle d'Aosta,0,0,0,7,7,5,5,0,0,0.0,0.0,7,28,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,71.43,0.0,0.0,250.0
2020-03-07T18:00:00,2,Valle d'Aosta,1,0,1,7,8,1,1,0,0,0.0,0.0,8,32,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,12.5,25.0,0.0,0.0,14.29
2020-03-08T18:00:00,2,Valle d'Aosta,1,0,1,8,9,1,1,0,0,0.0,0.0,9,41,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,11.11,11.11,0.0,0.0,12.5
2020-03-09T18:00:00,2,Valle d'Aosta,4,0,4,11,15,6,6,0,0,0.0,0.0,15,67,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,26.0,0.0,3.0,0.0,26.67,23.08,0.0,0.0,66.67
2020-03-10T18:00:00,2,Valle d'Aosta,2,0,2,15,17,2,2,0,0,0.0,0.0,17,89,0.0,0.0,0,0,0.0,-2.0,-2.0,0.0,0.0,22.0,0.0,4.0,0.0,11.76,9.09,0.0,0.0,13.33
2020-03-11T17:00:00,2,Valle d'Aosta,2,0,2,17,19,2,3,0,1,0.0,0.0,20,99,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,10.53,30.0,0.0,0.0,11.76
2020-03-12T17:00:00,2,Valle d'Aosta,7,0,7,19,26,7,7,0,1,0.0,0.0,27,118,0.0,0.0,0,0,0.0,5.0,5.0,0.0,0.0,19.0,0.0,2.0,0.0,26.92,36.84,0.0,0.0,36.84
2020-03-13T17:00:00,2,Valle d'Aosta,6,0,6,21,27,1,1,0,1,0.0,0.0,28,189,0.0,0.0,0,0,0.0,-1.0,-1.0,0.0,0.0,71.0,0.0,2.0,0.0,22.22,1.41,0.0,0.0,3.85
2020-03-14T17:00:00,2,Valle d'Aosta,12,0,12,29,41,14,14,0,1,0.0,0.0,42,231,0.0,0.0,0,0,0.0,6.0,6.0,0.0,0.0,42.0,0.0,8.0,0.0,29.27,33.33,0.0,0.0,51.85
2020-03-15T17:00:00,2,Valle d'Aosta,10,3,13,43,56,15,15,0,1,0.0,0.0,57,230,0.0,0.0,0,0,3.0,-2.0,1.0,0.0,0.0,-1.0,0.0,14.0,23.08,23.21,-1500.0,0.0,0.0,36.59
2020-03-16T17:00:00,2,Valle d'Aosta,28,5,33,70,103,47,48,0,2,0.0,0.0,105,287,0.0,0.0,0,0,2.0,18.0,20.0,0.0,1.0,57.0,0.0,27.0,15.15,32.04,84.21,0.0,66.67,83.93
2020-03-17T17:00:00,2,Valle d'Aosta,35,6,41,93,134,31,31,0,2,0.0,0.0,136,398,0.0,0.0,0,0,1.0,7.0,8.0,0.0,0.0,111.0,0.0,23.0,14.63,30.6,27.93,0.0,20.0,30.1
2020-03-18T17:00:00,2,Valle d'Aosta,41,3,44,118,162,28,29,0,3,0.0,0.0,165,486,0.0,0.0,0,0,-3.0,6.0,3.0,0.0,1.0,88.0,0.0,25.0,6.82,27.16,32.95,0.0,-50.0,20.9
2020-03-19T17:00:00,2,Valle d'Aosta,47,9,56,153,209,47,50,0,6,0.0,0.0,215,608,0.0,0.0,0,0,6.0,6.0,12.0,0.0,3.0,122.0,0.0,35.0,16.07,26.79,40.98,0.0,200.0,29.01
2020-03-20T17:00:00,2,Valle d'Aosta,54,9,63,194,257,48,49,0,7,0.0,0.0,264,814,0.0,0.0,0,0,0.0,7.0,7.0,0.0,1.0,206.0,0.0,41.0,14.29,24.51,23.79,0.0,0.0,22.97
2020-03-21T17:00:00,2,Valle d'Aosta,62,15,77,227,304,47,49,1,8,0.0,0.0,313,884,0.0,0.0,0,0,6.0,8.0,14.0,1.0,1.0,70.0,0.0,33.0,19.48,25.33,70.0,0.0,66.67,18.29
2020-03-22T17:00:00,2,Valle d'Aosta,63,21,84,270,354,50,51,1,9,0.0,0.0,364,950,0.0,0.0,0,0,6.0,1.0,7.0,0.0,1.0,66.0,0.0,43.0,25.0,23.73,77.27,0.0,40.0,16.45
2020-03-23T17:00:00,2,Valle d'Aosta,69,20,89,290,379,25,29,2,12,0.0,0.0,393,1098,0.0,0.0,0,0,-1.0,6.0,5.0,1.0,3.0,148.0,0.0,20.0,22.47,23.48,19.59,0.0,-4.76,7.06
2020-03-24T17:00:00,2,Valle d'Aosta,71,20,91,288,379,0,7,2,19,0.0,0.0,400,1180,0.0,0.0,0,0,0.0,2.0,2.0,0.0,7.0,82.0,0.0,-2.0,21.98,24.01,8.54,0.0,0.0,0.0
2020-03-25T17:00:00,2,Valle d'Aosta,70,25,95,280,375,-4,1,2,24,0.0,0.0,401,1200,0.0,0.0,0,0,5.0,-1.0,4.0,0.0,5.0,20.0,0.0,-8.0,26.32,25.33,5.0,0.0,25.0,-1.06
2020-03-26T17:00:00,2,Valle d'Aosta,73,24,97,281,378,3,7,2,28,0.0,0.0,408,1203,0.0,0.0,0,0,-1.0,3.0,2.0,0.0,4.0,3.0,0.0,1.0,24.74,25.66,233.33,0.0,-4.0,0.8
2020-03-27T17:00:00,2,Valle d'Aosta,91,24,115,298,413,35,44,2,37,0.0,0.0,452,1252,0.0,0.0,0,0,0.0,18.0,18.0,0.0,9.0,49.0,0.0,17.0,20.87,27.85,89.8,0.0,0.0,9.26
2020-03-28T17:00:00,2,Valle d'Aosta,90,26,116,352,468,55,59,2,41,0.0,0.0,511,1380,0.0,0.0,0,0,2.0,-1.0,1.0,0.0,4.0,128.0,0.0,54.0,22.41,24.79,46.09,0.0,8.33,13.32
2020-03-29T17:00:00,2,Valle d'Aosta,90,26,116,423,539,71,73,2,43,0.0,0.0,584,1480,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,71.0,22.41,21.52,73.0,0.0,0.0,15.17
2020-03-30T17:00:00,2,Valle d'Aosta,92,26,118,400,518,-21,0,16,50,0.0,0.0,584,1536,0.0,0.0,0,0,0.0,2.0,2.0,14.0,7.0,56.0,0.0,-23.0,22.03,22.78,0.0,0.0,0.0,-3.9
2020-03-31T17:00:00,2,Valle d'Aosta,91,26,117,435,552,34,44,20,56,0.0,0.0,628,1582,0.0,0.0,0,0,0.0,-1.0,-1.0,4.0,6.0,46.0,0.0,35.0,22.22,21.2,95.65,0.0,0.0,6.56
2020-04-01T17:00:00,2,Valle d'Aosta,85,27,112,428,540,-12,3,32,59,0.0,0.0,631,1717,0.0,0.0,0,0,1.0,-6.0,-5.0,12.0,3.0,135.0,0.0,-7.0,24.11,20.74,2.22,0.0,3.85,-2.17
2020-04-02T17:00:00,2,Valle d'Aosta,85,25,110,446,556,16,37,49,63,0.0,0.0,668,1934,0.0,0.0,0,0,-2.0,0.0,-2.0,17.0,4.0,217.0,0.0,18.0,22.73,19.78,17.05,0.0,-7.41,2.96
2020-04-03T17:00:00,2,Valle d'Aosta,85,25,110,450,560,4,51,89,70,0.0,0.0,719,2106,0.0,0.0,0,0,0.0,0.0,0.0,40.0,7.0,172.0,0.0,4.0,22.73,19.64,29.65,0.0,0.0,0.72
2020-04-04T17:00:00,2,Valle d'Aosta,63,23,86,474,560,0,29,106,82,0.0,0.0,748,2274,0.0,0.0,0,0,-2.0,-22.0,-24.0,17.0,12.0,168.0,0.0,24.0,26.74,15.36,17.26,0.0,-8.0,0.0
2020-04-05T17:00:00,2,Valle d'Aosta,96,23,119,457,576,16,34,115,91,0.0,0.0,782,2390,0.0,0.0,0,0,0.0,33.0,33.0,9.0,9.0,116.0,0.0,-17.0,19.33,20.66,29.31,0.0,0.0,2.86
2020-04-06T17:00:00,2,Valle d'Aosta,109,21,130,437,567,-9,23,142,96,0.0,0.0,805,2590,0.0,0.0,0,0,-2.0,13.0,11.0,27.0,5.0,200.0,0.0,-20.0,16.15,22.93,11.5,0.0,-8.7,-1.56
2020-04-07T17:00:00,2,Valle d'Aosta,118,17,135,458,593,26,30,142,100,0.0,0.0,835,2754,0.0,0.0,0,0,-4.0,9.0,5.0,0.0,4.0,164.0,0.0,21.0,12.59,22.77,18.29,0.0,-19.05,4.59
2020-04-08T17:00:00,2,Valle d'Aosta,120,20,140,466,606,13,15,142,102,0.0,0.0,850,2953,0.0,0.0,0,0,3.0,2.0,5.0,0.0,2.0,199.0,0.0,8.0,14.29,23.1,7.54,0.0,17.65,2.19
2020-04-09T17:00:00,2,Valle d'Aosta,118,18,136,473,609,3,18,154,105,0.0,0.0,868,3142,0.0,0.0,0,0,-2.0,-2.0,-4.0,12.0,3.0,189.0,0.0,7.0,13.24,22.33,9.52,0.0,-10.0,0.5
2020-04-10T17:00:00,2,Valle d'Aosta,131,16,147,455,602,-7,11,170,107,0.0,0.0,879,3328,0.0,0.0,0,0,-2.0,13.0,11.0,16.0,2.0,186.0,0.0,-18.0,10.88,24.42,5.91,0.0,-11.11,-1.15
2020-04-11T17:00:00,2,Valle d'Aosta,118,17,135,455,590,-12,23,205,107,0.0,0.0,902,3464,0.0,0.0,0,0,1.0,-13.0,-12.0,35.0,0.0,136.0,0.0,0.0,12.59,22.88,16.91,0.0,6.25,-1.99
2020-04-12T17:00:00,2,Valle d'Aosta,109,16,125,463,588,-2,19,221,112,0.0,0.0,921,3510,0.0,0.0,0,0,-1.0,-9.0,-10.0,16.0,5.0,46.0,0.0,8.0,12.8,21.26,41.3,0.0,-5.88,-0.34
2020-04-13T17:00:00,2,Valle d'Aosta,109,15,124,458,582,-6,6,230,115,0.0,0.0,927,3614,0.0,0.0,0,0,-1.0,0.0,-1.0,9.0,3.0,104.0,0.0,-5.0,12.1,21.31,5.77,0.0,-6.25,-1.02
2020-04-14T17:00:00,2,Valle d'Aosta,112,14,126,433,559,-23,20,270,118,0.0,0.0,947,3726,0.0,0.0,0,0,-1.0,3.0,2.0,40.0,3.0,112.0,0.0,-25.0,11.11,22.54,17.86,0.0,-6.67,-3.95
2020-04-15T17:00:00,2,Valle d'Aosta,112,11,123,425,548,-11,11,289,121,0.0,0.0,958,3894,0.0,0.0,0,0,-3.0,0.0,-3.0,19.0,3.0,168.0,0.0,-8.0,8.94,22.45,6.55,0.0,-21.43,-1.97
2020-04-16T17:00:00,2,Valle d'Aosta,105,12,117,401,518,-30,13,331,122,0.0,0.0,971,4159,0.0,0.0,0,0,1.0,-7.0,-6.0,42.0,1.0,265.0,0.0,-24.0,10.26,22.59,4.91,0.0,9.09,-5.47
2020-04-17T17:00:00,2,Valle d'Aosta,108,9,117,374,491,-27,22,379,123,0.0,0.0,993,4366,0.0,0.0,0,0,-3.0,3.0,0.0,48.0,1.0,207.0,0.0,-27.0,7.69,23.83,10.63,0.0,-25.0,-5.21
2020-04-18T17:00:00,2,Valle d'Aosta,107,10,117,432,549,58,80,400,124,0.0,0.0,1073,4521,0.0,0.0,0,0,1.0,-1.0,0.0,21.0,1.0,155.0,0.0,58.0,8.55,21.31,51.61,0.0,11.11,11.81
2020-04-19T17:00:00,2,Valle d'Aosta,102,10,112,450,562,13,15,401,125,0.0,0.0,1088,4677,3802.0,0.0,0,0,0.0,-5.0,-5.0,1.0,1.0,156.0,0.0,18.0,8.93,19.93,9.62,0.0,0.0,2.37
2020-04-20T17:00:00,2,Valle d'Aosta,102,8,110,438,548,-14,0,413,127,0.0,0.0,1088,4799,3910.0,0.0,0,0,-2.0,0.0,-2.0,12.0,2.0,122.0,108.0,-12.0,7.27,20.07,0.0,0.0,-20.0,-2.49
2020-04-21T17:00:00,2,Valle d'Aosta,99,8,107,415,522,-26,5,445,126,0.0,0.0,1093,4911,3969.0,0.0,0,0,0.0,-3.0,-3.0,32.0,-1.0,112.0,59.0,-23.0,7.48,20.5,4.46,8.47,0.0,-4.74
