data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,5,Veneto,12,7,19,23,42,10,10,0,1,43,3780,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,0.0,3.0,0.0,0.0,1580.0,0.0,7.0,36.84,45.24,0.63,0.0,75.0,31.25
2020-02-26T18:00:00,5,Veneto,16,8,24,45,69,27,28,0,2,71,4900,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,5.0,0.0,1.0,1120.0,0.0,22.0,33.33,34.78,2.5,0.0,14.29,64.29
2020-02-27T18:00:00,5,Veneto,19,8,27,82,109,40,40,0,2,111,6164,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,1264.0,0.0,37.0,29.63,24.77,3.16,0.0,0.0,57.97
2020-02-28T18:00:00,5,Veneto,24,9,33,116,149,40,40,0,2,151,7414,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,5.0,6.0,0.0,0.0,1250.0,0.0,34.0,27.27,22.15,3.2,0.0,12.5,36.7
2020-02-29T17:00:00,5,Veneto,24,11,35,154,189,40,40,0,2,191,8659,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,0.0,2.0,0.0,0.0,1245.0,0.0,38.0,31.43,18.52,3.21,0.0,22.22,26.85
2020-03-01T17:00:00,5,Veneto,51,13,64,197,261,72,72,0,2,263,9056,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,27.0,29.0,0.0,0.0,397.0,0.0,43.0,20.31,24.52,18.14,0.0,18.18,38.1
2020-03-02T18:00:00,5,Veneto,53,14,67,204,271,10,10,0,2,273,9782,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,3.0,0.0,0.0,726.0,0.0,7.0,20.9,24.72,1.38,0.0,7.69,3.83
2020-03-03T18:00:00,5,Veneto,49,19,68,229,297,26,34,7,3,307,10176,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,-4.0,1.0,7.0,1.0,394.0,0.0,25.0,27.94,22.9,8.63,0.0,35.71,9.59
2020-03-04T17:00:00,5,Veneto,76,23,99,246,345,48,53,9,6,360,10515,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,27.0,31.0,2.0,3.0,339.0,0.0,17.0,23.23,28.7,15.63,0.0,21.05,16.16
2020-03-05T17:00:00,5,Veneto,92,24,116,264,380,35,47,17,10,407,11949,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,16.0,17.0,8.0,4.0,1434.0,0.0,18.0,20.69,30.53,3.28,0.0,4.35,10.14
2020-03-06T17:00:00,5,Veneto,117,27,144,310,454,74,81,22,12,488,13023,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,25.0,28.0,5.0,2.0,1074.0,0.0,46.0,18.75,31.72,7.54,0.0,12.5,19.47
2020-03-07T18:00:00,5,Veneto,123,41,164,341,505,51,55,25,13,543,14429,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14.0,6.0,20.0,3.0,1.0,1406.0,0.0,31.0,25.0,32.48,3.91,0.0,51.85,11.23
2020-03-08T18:00:00,5,Veneto,146,47,193,430,623,118,127,29,18,670,15918,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,23.0,29.0,4.0,5.0,1489.0,0.0,89.0,24.35,30.98,8.53,0.0,14.63,23.37
2020-03-09T18:00:00,5,Veneto,186,51,237,457,694,71,74,30,20,744,15956,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,40.0,44.0,1.0,2.0,38.0,0.0,27.0,21.52,34.15,194.74,0.0,8.51,11.4
2020-03-10T18:00:00,5,Veneto,204,67,271,512,783,89,112,47,26,856,16643,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16.0,18.0,34.0,17.0,6.0,687.0,0.0,55.0,24.72,34.61,16.3,0.0,31.37,12.82
2020-03-11T17:00:00,5,Veneto,262,68,330,610,940,157,167,54,29,1023,21400,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,58.0,59.0,7.0,3.0,4757.0,0.0,98.0,20.61,35.11,3.51,0.0,1.49,20.05
2020-03-12T17:00:00,5,Veneto,360,85,445,852,1297,357,361,55,32,1384,23438,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17.0,98.0,115.0,1.0,3.0,2038.0,0.0,242.0,19.1,34.31,17.71,0.0,25.0,37.98
2020-03-13T17:00:00,5,Veneto,366,107,473,980,1453,156,211,100,42,1595,25691,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.0,6.0,28.0,45.0,10.0,2253.0,0.0,128.0,22.62,32.55,9.37,0.0,25.88,12.03
2020-03-14T17:00:00,5,Veneto,366,119,485,1290,1775,322,342,107,55,1937,26980,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.0,12.0,7.0,13.0,1289.0,0.0,310.0,24.54,27.32,26.53,0.0,11.21,22.16
2020-03-15T17:00:00,5,Veneto,426,129,555,1434,1989,214,235,120,63,2172,32546,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.0,60.0,70.0,13.0,8.0,5566.0,0.0,144.0,23.24,27.9,4.22,0.0,8.4,12.06
2020-03-16T17:00:00,5,Veneto,498,156,654,1620,2274,285,301,130,69,2473,35052,0.0,0.0,0.0,0.0,0.0,0.0,0,0,27.0,72.0,99.0,10.0,6.0,2506.0,0.0,186.0,23.85,28.76,12.01,0.0,20.93,14.33
2020-03-17T17:00:00,5,Veneto,548,171,719,1769,2488,214,231,136,80,2704,35478,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15.0,50.0,65.0,6.0,11.0,426.0,0.0,149.0,23.78,28.9,54.23,0.0,9.62,9.41
2020-03-18T17:00:00,5,Veneto,646,195,841,2112,2953,465,510,167,94,3214,40841,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24.0,98.0,122.0,31.0,14.0,5363.0,0.0,343.0,23.19,28.48,9.51,0.0,14.04,18.69
2020-03-19T17:00:00,5,Veneto,771,209,980,2189,3169,216,270,200,115,3484,44658,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14.0,125.0,139.0,33.0,21.0,3817.0,0.0,77.0,21.33,30.92,7.07,0.0,7.18,7.31
2020-03-20T17:00:00,5,Veneto,843,236,1079,2598,3677,508,547,223,131,4031,49288,0.0,0.0,0.0,0.0,0.0,0.0,0,0,27.0,72.0,99.0,23.0,16.0,4630.0,0.0,409.0,21.87,29.34,11.81,0.0,12.92,16.03
2020-03-21T17:00:00,5,Veneto,942,249,1191,3023,4214,537,586,257,146,4617,53642,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13.0,99.0,112.0,34.0,15.0,4354.0,0.0,425.0,20.91,28.26,13.46,0.0,5.51,14.6
2020-03-22T17:00:00,5,Veneto,1113,255,1368,3276,4644,430,505,309,169,5122,57671,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,171.0,177.0,52.0,23.0,4029.0,0.0,253.0,18.64,29.46,12.53,0.0,2.41,10.2
2020-03-23T17:00:00,5,Veneto,1206,281,1487,3499,4986,342,383,327,192,5505,61115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,26.0,93.0,119.0,18.0,23.0,3444.0,0.0,223.0,18.9,29.82,11.12,0.0,10.2,7.36
2020-03-24T17:00:00,5,Veneto,1318,304,1622,3729,5351,365,443,381,216,5948,66178,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23.0,112.0,135.0,54.0,24.0,5063.0,0.0,230.0,18.74,30.31,8.75,0.0,8.19,7.32
2020-03-25T17:00:00,5,Veneto,1407,316,1723,4022,5745,394,494,439,258,6442,70877,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.0,89.0,101.0,58.0,42.0,4699.0,0.0,293.0,18.34,29.99,10.51,0.0,3.95,7.36
2020-03-26T17:00:00,5,Veneto,1447,326,1773,4367,6140,395,493,508,287,6935,79759,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.0,40.0,50.0,69.0,29.0,8882.0,0.0,345.0,18.39,28.88,5.55,0.0,3.16,6.88
2020-03-27T17:00:00,5,Veneto,1536,338,1874,4774,6648,508,562,536,313,7497,83627,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.0,89.0,101.0,28.0,26.0,3868.0,0.0,407.0,18.04,28.19,14.53,0.0,3.68,8.27
2020-03-28T17:00:00,5,Veneto,1559,344,1903,5010,6913,265,433,655,362,7930,89380,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,23.0,29.0,119.0,49.0,5753.0,0.0,236.0,18.08,27.53,7.53,0.0,1.78,3.99
2020-03-29T17:00:00,5,Veneto,1586,355,1941,5310,7251,338,428,715,392,8358,94784,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11.0,27.0,38.0,60.0,30.0,5404.0,0.0,300.0,18.29,26.77,7.92,0.0,3.2,4.89
2020-03-30T17:00:00,5,Veneto,1633,356,1989,5575,7564,313,366,747,413,8724,99941,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,47.0,48.0,32.0,21.0,5157.0,0.0,265.0,17.9,26.3,7.1,0.0,0.28,4.32
2020-03-31T17:00:00,5,Veneto,1680,356,2036,5814,7850,286,431,828,477,9155,106238,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,47.0,47.0,81.0,64.0,6297.0,0.0,239.0,17.49,25.94,6.84,0.0,0.0,3.78
